Aspect,Slope,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area_1,Wilderness_Area_2,Wilderness_Area_3,Wilderness_Area_4,Soil_Type_1,Soil_Type_2,Soil_Type_3,Soil_Type_4,Soil_Type_5,Soil_Type_6,Soil_Type_10,Soil_Type_11,Soil_Type_12,Soil_Type_13,Soil_Type_14,Soil_Type_18,Soil_Type_20,Soil_Type_22,Soil_Type_24,Soil_Type_27,Soil_Type_29,Soil_Type_30,Soil_Type_31,Soil_Type_33,Soil_Type_34,Soil_Type_38,Soil_Type_39,Soil_Type_40,Cover_Type,Hypo_Distance,Average_Dist_Road_Hydro,Average_Elevation_Hydro
284,8,198,240,181,1830,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,150.00333329629711,478.5,1531.0
97,19,247,210,85,2552,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,495.4069034642129,945.5,1701.5
115,13,242,227,113,1982,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,691.1012950356843,2440.0,1625.0
22,11,213,216,138,2285,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1145.5,1403.5
117,11,239,230,120,2348,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,153.80507143784303,1789.0,1493.0
121,12,241,230,116,2226,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,450.8569617960889,912.5,1689.5
42,14,222,209,120,2943,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,510.008823453085,1267.0,1467.5
325,16,176,219,181,690,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,654.1223127214054,1827.0,1751.5
122,22,251,216,80,256,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,237.91805311913595,1900.0,1596.0
335,8,202,230,166,2430,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,175.410946066658,2638.0,1489.0
58,9,227,221,128,3520,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,108.37435120913067,2194.5,1580.0
58,11,228,216,118,2691,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,443.0,1640.0,1309.0
136,11,237,234,126,2560,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,30.59411708155671,706.5,1416.5
16,16,204,205,134,1087,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,331.1223338888514,1474.5,1616.0
90,6,230,230,134,1663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,459.7434066955175,2791.5,1565.5
50,18,225,198,100,1774,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,153.16984037335808,229.5,1596.0
49,25,221,178,78,2671,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,266.3719204420766,896.0,1649.5
79,14,238,213,103,750,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,477.53533900644464,406.5,1524.5
316,24,149,212,199,1423,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,453.71025996774637,412.5,1635.5
189,13,219,249,160,2763,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,121.01652779682617,2803.5,1488.0
222,7,212,247,172,1411,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,391.31061830724707,726.0,1679.5
158,24,238,236,115,2391,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,533.7349529494953,648.0,1495.0
351,11,199,221,159,541,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30.265491900843113,2194.0,1612.5
312,6,203,235,172,1253,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,219.79080963497995,351.5,1615.5
46,7,222,223,136,3895,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,398.1205847478877,784.5,1744.5
17,9,213,221,145,1158,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,112.08925015361643,2589.5,1606.0
113,4,226,236,145,2482,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,387.9188059375312,501.0,1625.0
124,8,234,234,129,2716,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,381.70145401871343,2399.5,1622.0
281,14,181,241,200,212,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30.4138126514911,779.0,1513.5
78,7,229,228,132,2704,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,552.5332569176267,2391.0,1667.5
42,18,220,198,107,4034,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,404.04207701673846,1617.0,1687.5
356,25,172,187,146,2024,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,121.06196760337245,328.5,1579.0
288,15,175,237,201,1813,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,150.0133327407934,2148.0,1611.0
142,3,223,238,151,1838,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,30.066592756745816,2330.5,1607.0
203,24,197,252,178,1173,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,356.32850012313077,361.0,1660.0
225,2,216,241,162,2970,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,95.25754563287887,1157.0,1610.5
90,12,238,221,112,1020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,520.0,1509.0
79,13,237,215,106,2666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,439.39617658782606,985.0,1648.5
47,8,223,223,135,2287,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,446.8780594300866,928.5,1640.0
143,16,241,234,116,2484,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,131.54847015454038,821.0,1614.0
29,8,217,222,140,1951,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,120.26637102698326,1677.0,1653.0
161,9,229,242,145,3862,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,580.0086206255903,967.5,1748.0
22,18,206,195,120,2129,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,263.8787600395303,1309.5,1499.0
293,10,191,238,187,1771,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,278.21754078418564,764.5,1470.0
333,13,191,223,172,1717,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,340.414453277178,532.5,1639.0
20,13,210,211,136,2690,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,337.8771966262299,1218.0,1607.5
79,11,235,220,115,2711,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,470.34455455548755,1666.5,1321.0
96,12,239,222,111,2200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30.805843601498726,513.5,1459.0
320,3,210,234,163,1232,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95.524865872714,352.0,1624.5
275,11,191,243,191,1489,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,518.0550163833954,470.0,1683.0
135,6,230,237,141,335,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,3013.5,1627.5
123,14,242,228,110,2965,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,175.82377541163197,1729.0,1577.0
12,17,198,201,136,613,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,400.8241509689754,2217.5,1645.5
29,11,216,216,134,3363,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,684.2338781440159,1663.5,1656.5
23,2,218,233,153,2425,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,219.0091322296858,1386.0,1585.5
344,15,188,214,164,979,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,86.31338250816034,669.5,1609.0
284,15,178,239,201,1168,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,68.0,1024.5,1413.0
70,22,238,191,74,1405,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,367.0490430446591,342.5,1550.0
118,10,238,230,122,1603,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,622.6853137821704,3288.5,1665.0
300,18,166,229,202,2324,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,399.10023803550905,782.0,1573.5
11,26,183,178,122,1332,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,276.9259828907356,588.0,1565.0
352,10,203,223,158,828,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,68.06614430096654,1769.0,1515.0
125,12,240,232,120,1579,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,542.3513621260668,3145.0,1642.5
75,17,238,203,90,1281,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,30.4138126514911,213.0,1468.0
16,5,215,229,150,2130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,241.40422531513403,1178.0,1575.5
333,14,188,222,172,3501,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,576.3132828592449,2162.0,1575.5
294,8,197,238,181,1403,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,371.8413640250369,1967.5,1665.5
317,16,176,224,187,3390,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,332.05120087119093,2007.0,1629.5
354,8,205,224,156,1968,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,365.3505166275258,904.0,1649.0
33,7,219,226,143,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1925.0,1563.5
114,15,244,224,105,942,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,391.0115087820306,1681.0,1562.0
47,16,224,203,109,2769,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,601.4682036483724,1344.5,1493.0
111,14,243,224,108,424,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,108.2266141020775,1040.5,1377.5
130,13,240,233,120,1653,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,495.5249741435844,3148.5,1633.0
156,15,235,241,132,1110,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,414.13162158907886,1451.5,1550.0
29,12,216,213,132,3612,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,464.157300922866,1613.0,1615.5
76,4,225,232,143,3042,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30.01666203960727,585.0,1455.5
68,15,234,210,104,3167,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,32.31098884280702,1137.5,1408.0
61,9,227,222,128,300,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42.0,1838.5,1543.0
202,15,212,252,172,573,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,199.7223072167954,1784.0,1673.5
53,5,223,229,142,430,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,120.00416659433121,3132.5,1622.0
319,5,205,234,168,1009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55.14526271584895,2368.5,1529.0
323,6,202,233,169,1789,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,490.2509561438917,620.0,1627.0
93,15,242,216,100,1048,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,279.0788419067271,2965.0,1582.0
302,10,191,235,184,1998,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,521.6100075727076,2405.5,1725.5
355,22,177,194,150,962,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,86.49277426467485,90.0,1424.5
41,9,221,221,134,1357,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,175.04570831642803,1859.5,1546.0
173,6,224,243,153,2354,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,346.09247319177575,2668.5,1485.0
151,15,238,239,126,1616,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,127.66362050325849,896.5,1600.5
307,2,213,237,163,850,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,473.8143096192853,1664.0,1558.5
180,7,223,244,156,983,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,183.56470248934025,721.0,1650.0
289,13,181,237,196,1265,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,255.15485494107298,1786.5,1566.0
315,1,215,237,160,680,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,455.6720311803216,3152.0,1661.5
197,27,202,250,167,1333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,128.87590930814028,1208.0,1625.0
101,6,230,232,135,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,318.4022612985027,902.0,1665.0
27,21,206,190,113,1790,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,524.3071618812774,1989.0,1702.5
135,7,231,237,139,4075,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1111.0,1588.5
8,11,207,218,147,1159,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,300.00666659259423,1315.0,1533.0
32,8,219,224,141,2075,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60.00833275470999,573.5,1546.0
100,11,238,225,116,726,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30.59411708155671,1182.5,1422.5
26,21,205,189,113,1573,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,591.8656942246273,730.5,1565.0
291,12,186,238,192,1676,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,302.04966479041155,1959.5,1710.0
330,16,179,218,177,1237,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,745.4320894622125,1605.0,1751.0
14,14,206,210,139,1103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,67.11929677819934,912.5,1446.0
117,19,249,219,90,2720,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,111.32385189167684,445.0,1474.0
296,8,197,238,180,959,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,175.11139311878026,1610.0,1687.5
14,9,212,222,147,150,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1979.0,1565.5
109,12,241,226,113,1289,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,115.16944039110375,2612.5,1594.5
100,20,248,209,80,1831,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,190.71706793048176,567.5,1613.5
103,6,231,232,134,1921,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,531.5,1352.5
63,11,230,218,121,3257,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,282.4075069823747,1995.5,1611.5
228,6,211,246,172,1074,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,67.26812023536856,2741.0,1603.5
80,17,240,207,91,2929,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,2100.0,1546.5
346,12,195,219,161,3924,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,232.95707759155977,2753.0,1523.0
117,6,231,234,136,2496,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,183.3712082089225,1193.5,1521.0
91,12,239,219,108,2547,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,120.41594578792295,916.5,1607.0
